KW,cold,hot,KW,cold,hot
13703.3,8095.140845,2397.058824,13703.3,8095.140845,2397.058824
13863.8,9241.478873,2282.352941,13863.8,9241.478873,2282.352941
13857.92,9896.408451,2200,13857.92,9896.408451,2200
13822.98,10643.4507,2132.352941,13822.98,10643.4507,2132.352941
13651.75,11030.07042,2144.117647,13651.75,11030.07042,2144.117647
13436.47,11152.39437,2123.529412,13436.47,11152.39437,2123.529412
13084.98,10621.76056,2411.764706,13084.98,10621.76056,2411.764706
12801.15,9368.556338,2491.176471,12801.15,9368.556338,2491.176471
12449.72,8451.514085,2564.705882,12449.72,8451.514085,2564.705882
12097.62,8095.316901,2414.705882,12097.62,8095.316901,2414.705882
12384.4,7360.246479,2405.882353,12384.4,7360.246479,2405.882353
14418.33,6247.535211,2323.529412,14418.33,6247.535211,2323.529412
14091.9,5809.084507,2229.411765,14091.9,5809.084507,2229.411765
13715.17,5397.394366,2305.882353,13715.17,5397.394366,2305.882353
13569.42,5194.647887,2311.764706,13569.42,5194.647887,2311.764706
13467.88,5200.985915,2414.705882,13467.88,5200.985915,2414.705882
12768.55,5333.34507,2408.823529,12768.55,5333.34507,2408.823529
13246.6,5401.760563,2550,13246.6,5401.760563,2550
13624.65,5752.253521,2982.352941,13624.65,5752.253521,2982.352941
13107.8,5948.098592,3073.529412,13107.8,5948.098592,3073.529412
12955.6,6090.28169,3197.058824,12955.6,6090.28169,3197.058824
13177.47,6155.246479,3111.764706,13177.47,6155.246479,3111.764706
13410.1,6407.5,2723.529412,13410.1,6407.5,2723.529412
13448.13,6822.640845,2520.588235,13448.13,6822.640845,2520.588235
13720.45,7998.415493,2261.764706,13720.45,7998.415493,2261.764706
13801.4,9285.985915,2258.823529,13801.4,9285.985915,2258.823529
13857.7,10145.52817,2150,13857.7,10145.52817,2150
13642.45,11071.5493,2135.294118,13642.45,11071.5493,2135.294118
13456.68,11585.35211,2117.647059,13456.68,11585.35211,2117.647059
13259.3,11903.23944,2176.470588,13259.3,11903.23944,2176.470588
12904.15,11780.73944,2197.058824,12904.15,11780.73944,2197.058824
12667.48,9950.633803,2420.588235,12667.48,9950.633803,2420.588235
12239.55,8640.422535,2520.588235,12239.55,8640.422535,2520.588235
11882.65,8492.077465,2417.647059,11882.65,8492.077465,2417.647059
11999.7,7560.56338,2385.294118,11999.7,7560.56338,2385.294118
14254.63,6738.838028,2276.470588,14254.63,6738.838028,2276.470588
14471.48,6349.542254,2205.882353,14471.48,6349.542254,2205.882353
14603.02,5750.457746,2229.411765,14603.02,5750.457746,2229.411765
14506.85,5622.992958,2379.411765,14506.85,5622.992958,2379.411765
14452.1,5519.014085,2435.294118,14452.1,5519.014085,2435.294118
13696.2,5358.661972,2444.117647,13696.2,5358.661972,2444.117647
13092.83,5520.56338,2564.705882,13092.83,5520.56338,2564.705882
12451.08,5721.584507,2726.470588,12451.08,5721.584507,2726.470588
13110.75,6071.584507,3020.588235,13110.75,6071.584507,3020.588235
13533.65,6362.711268,3041.176471,13533.65,6362.711268,3041.176471
